\ Created 2021 May 30 by Nadia Zakamska 
\ Wavelengths are assumed to be in vacuum! 
\ Data Source 1: JWST H_2 lines between 1 and 2.5 microns from this link: 
\ https://github.com/spacetelescope/jdaviz/tree/main/jdaviz/data/linelists 
\ H2_alt.csv file; one typo corrected (the line marked as 2-9 Q(1) replaced with 2-0 Q(1)) 
\ Data Source 2: ISO H_2 lines from 2.5 microns onwards from this link: 
\ https://www.mpe.mpg.de/ir/ISO/linelists, file H2.html 
\ The original precision for wavelength is maintained. 
|                    name|          lines|                linelab|
|                    char|         double|                   char|
|                        |         micron|                       |
|                    null|           null|                   null|
                H2_10_O17        13.00182    H$\down2$(1-0) O(17) 
                 H2_11_S2        12.92756     H$\down2$(1-1) S(2) 
                 H2_99_S5        12.87086     H$\down2$(9-9) S(5) 
                H2_76_O13        12.86072    H$\down2$(7-6) O(13) 
                H2_98_O11        12.83281    H$\down2$(9-8) O(11) 
                 H2_55_S3        12.80432     H$\down2$(5-5) S(3) 
                H2_87_O12        12.69662    H$\down2$(8-7) O(12) 
                H2_43_O15        12.36660    H$\down2$(4-3) O(15) 
                 H2_77_S4        12.29775     H$\down2$(7-7) S(4) 
                 H2_00_S2        12.27861     H$\down2$(0-0) S(2) 
               H2_1010_S7        12.07715   H$\down2$(10-10) S(7) 
                 H2_44_S3        12.03121     H$\down2$(4-4) S(3) 
                H2_21_O16        11.96880    H$\down2$(2-1) O(16) 
              H2_1211_Q10        11.91844  H$\down2$(12-11) Q(10) 
                H2_54_O14        11.67092    H$\down2$(5-4) O(14) 
                 H2_88_S5        11.60781     H$\down2$(8-8) S(5) 
                 H2_99_S6        11.49928     H$\down2$(9-9) S(6) 
                H2_109_O9        11.42151    H$\down2$(10-9) O(9) 
                 H2_66_S4        11.40307     H$\down2$(6-6) S(4) 
                 H2_33_S3        11.34751     H$\down2$(3-3) S(3) 
               H2_1010_S8        11.33410   H$\down2$(10-10) S(8) 
                H2_65_O13        11.23326    H$\down2$(6-5) O(13) 
                H2_32_O15        11.15171    H$\down2$(3-2) O(15) 
                H2_98_O10        10.97393    H$\down2$(9-8) O(10) 
                H2_76_O12        10.94780    H$\down2$(7-6) O(12) 
                H2_10_O16        10.93425    H$\down2$(1-0) O(16) 
                H2_87_O11        10.84535    H$\down2$(8-7) O(11) 
               H2_1010_S9        10.83232   H$\down2$(10-10) S(9) 
                 H2_22_S3        10.73515     H$\down2$(2-2) S(3) 
                 H2_55_S4        10.65125     H$\down2$(5-5) S(4) 
                 H2_77_S5        10.63459     H$\down2$(7-7) S(5) 
              H2_1010_S12        10.53740  H$\down2$(10-10) S(12) 
              H2_1010_S10        10.53524  H$\down2$(10-10) S(10) 
                H2_43_O14        10.52344    H$\down2$(4-3) O(14) 
                 H2_99_S7        10.50547     H$\down2$(9-9) S(7) 
              H2_1010_S11        10.43191  H$\down2$(10-10) S(11) 
               H2_1211_Q9        10.36689   H$\down2$(12-11) Q(9) 
                 H2_88_S6        10.33786     H$\down2$(8-8) S(6) 
                 H2_11_S3        10.17771     H$\down2$(1-1) S(3) 
                H2_21_O15        10.17765    H$\down2$(2-1) O(15) 
                H2_54_O13        10.01621    H$\down2$(5-4) O(13) 
                 H2_44_S4        10.00254     H$\down2$(4-4) S(4) 
                H2_109_O8         9.92065    H$\down2$(10-9) O(8) 
                 H2_66_S5         9.84890     H$\down2$(6-6) S(5) 
                 H2_99_S8         9.77580     H$\down2$(9-9) S(8) 
                H2_65_O12         9.68355    H$\down2$(6-5) O(12) 
                 H2_00_S3         9.66492     H$\down2$(0-0) S(3) 
                H2_32_O14         9.56912    H$\down2$(3-2) O(14) 
                 H2_98_O9         9.54149     H$\down2$(9-8) O(9) 
                H2_76_O11         9.47594    H$\down2$(7-6) O(11) 
                 H2_77_S6         9.45085     H$\down2$(7-7) S(6) 
                 H2_33_S4         9.43065     H$\down2$(3-3) S(4) 
               H2_1110_O6         9.42199   H$\down2$(11-10) O(6) 
                H2_87_O10         9.41643    H$\down2$(8-7) O(10) 
              H2_1110_Q12         9.41610  H$\down2$(11-10) Q(12) 
                 H2_88_S7         9.40813     H$\down2$(8-8) S(7) 
                H2_10_O15         9.36073    H$\down2$(1-0) O(15) 
                 H2_99_S9         9.24191     H$\down2$(9-9) S(9) 
                 H2_55_S5         9.19116     H$\down2$(5-5) S(5) 
                H2_43_O13         9.09126    H$\down2$(4-3) O(13) 
                 H2_22_S4         8.91849     H$\down2$(2-2) S(4) 
                H2_99_S10         8.86191    H$\down2$(9-9) S(10) 
                H2_21_O14         8.78641    H$\down2$(2-1) O(14) 
                H2_109_O7         8.74576    H$\down2$(10-9) O(7) 
                 H2_66_S6         8.73968     H$\down2$(6-6) S(6) 
                H2_54_O12         8.71423    H$\down2$(5-4) O(12) 
                 H2_88_S8         8.71414     H$\down2$(8-8) S(8) 
                 H2_44_S5         8.62557     H$\down2$(4-4) S(5) 
                H2_99_S11         8.61118    H$\down2$(9-9) S(11) 
                 H2_77_S7         8.57863     H$\down2$(7-7) S(7) 
              H2_1210_O12         8.54125  H$\down2$(12-10) O(12) 
               H2_1312_S5         8.54036   H$\down2$(13-12) S(5) 
              H2_1110_Q11         8.47831  H$\down2$(11-10) Q(11) 
                H2_99_S12         8.47808    H$\down2$(9-9) S(12) 
                H2_99_S13         8.46289    H$\down2$(9-9) S(13) 
                H2_65_O11         8.46116    H$\down2$(6-5) O(11) 
                 H2_11_S4         8.45292     H$\down2$(1-1) S(4) 
               H2_1311_O9         8.43653   H$\down2$(13-11) O(9) 
               H2_1312_S1         8.42202   H$\down2$(13-12) S(1) 
               H2_1110_O5         8.41011   H$\down2$(11-10) O(5) 
                 H2_98_O8         8.40908     H$\down2$(9-8) O(8) 
                H2_32_O13         8.32145    H$\down2$(3-2) O(13) 
                H2_76_O10         8.31173    H$\down2$(7-6) O(10) 
                 H2_87_O9         8.28410     H$\down2$(8-7) O(9) 
               H2_1312_S4         8.23995   H$\down2$(13-12) S(4) 
               H2_1312_S2         8.21533   H$\down2$(13-12) S(2) 
               H2_109_Q14         8.20242   H$\down2$(10-9) Q(14) 
                 H2_88_S9         8.19210     H$\down2$(8-8) S(9) 
               H2_1312_S3         8.14802   H$\down2$(13-12) S(3) 
                 H2_55_S6         8.14723     H$\down2$(5-5) S(6) 
                 H2_33_S5         8.12854     H$\down2$(3-3) S(5) 
                H2_10_O14         8.12263    H$\down2$(1-0) O(14) 
                 H2_00_S4         8.02505     H$\down2$(0-0) S(4) 
                H2_43_O12         7.95264    H$\down2$(4-3) O(12) 
                 H2_77_S8         7.92101     H$\down2$(7-7) S(8) 
                 H2_66_S7         7.91904     H$\down2$(6-6) S(7) 
              H2_1110_Q10         7.80672  H$\down2$(11-10) Q(10) 
                H2_109_O6         7.80635    H$\down2$(10-9) O(6) 
                H2_88_S10         7.80166    H$\down2$(8-8) S(10) 
                 H2_22_S5         7.68371     H$\down2$(2-2) S(5) 
                H2_21_O13         7.67748    H$\down2$(2-1) O(13) 
                H2_54_O11         7.66793    H$\down2$(5-4) O(11) 
                 H2_44_S6         7.63987     H$\down2$(4-4) S(6) 
               H2_1110_O4         7.59882   H$\down2$(11-10) O(4) 
               H2_1412_O4         7.58211   H$\down2$(14-12) O(4) 
                H2_88_S11         7.51711    H$\down2$(8-8) S(11) 
               H2_119_O14         7.50660   H$\down2$(11-9) O(14) 
                 H2_98_O7         7.49616     H$\down2$(9-8) O(7) 
                H2_65_O10         7.47591    H$\down2$(6-5) O(10) 
               H2_109_Q13         7.45155   H$\down2$(10-9) Q(13) 
                 H2_77_S9         7.41846     H$\down2$(7-7) S(9) 
                 H2_55_S7         7.37296     H$\down2$(5-5) S(7) 
                 H2_76_O9         7.37106     H$\down2$(7-6) O(9) 
                 H2_87_O8         7.36855     H$\down2$(8-7) O(8) 
                H2_88_S12         7.32289    H$\down2$(8-8) S(12) 
                H2_32_O12         7.31632    H$\down2$(3-2) O(12) 
               H2_1110_Q9         7.30380   H$\down2$(11-10) Q(9) 
                 H2_66_S8         7.29655     H$\down2$(6-6) S(8) 
                 H2_11_S5         7.28006     H$\down2$(1-1) S(5) 
                H2_88_S13         7.21139    H$\down2$(8-8) S(13) 
                 H2_33_S6         7.19533     H$\down2$(3-3) S(6) 
               H2_1311_O8         7.18623   H$\down2$(13-11) O(8) 
                H2_10_O13         7.12548    H$\down2$(1-0) O(13) 
              H2_1210_O11         7.08920  H$\down2$(12-10) O(11) 
                H2_109_O5         7.04322    H$\down2$(10-9) O(5) 
               H2_108_O16         7.03407   H$\down2$(10-8) O(16) 
                H2_77_S10         7.03273    H$\down2$(7-7) S(10) 
                H2_43_O11         7.02962    H$\down2$(4-3) O(11) 
               H2_1110_O3         6.94033   H$\down2$(11-10) O(3) 
               H2_1412_O3         6.92886   H$\down2$(14-12) O(3) 
                 H2_00_S5         6.90952     H$\down2$(0-0) S(5) 
                 H2_44_S7         6.90758     H$\down2$(4-4) S(7) 
                 H2_66_S9         6.81644     H$\down2$(6-6) S(9) 
                H2_54_O10         6.81239    H$\down2$(5-4) O(10) 
                 H2_22_S6         6.79806     H$\down2$(2-2) S(6) 
                 H2_55_S8         6.78360     H$\down2$(5-5) S(8) 
                H2_21_O12         6.77608    H$\down2$(2-1) O(12) 
                 H2_98_O6         6.74901     H$\down2$(9-8) O(6) 
                H2_77_S11         6.73869    H$\down2$(7-7) S(11) 
                 H2_65_O9         6.66810     H$\down2$(6-5) O(9) 
                 H2_87_O7         6.61668     H$\down2$(8-7) O(7) 
                 H2_76_O8         6.59838     H$\down2$(7-6) O(8) 
                H2_77_S12         6.51991    H$\down2$(7-7) S(12) 
                 H2_33_S7         6.50086     H$\down2$(3-3) S(7) 
                H2_32_O11         6.49270    H$\down2$(3-2) O(11) 
               H2_1412_O2         6.46328   H$\down2$(14-12) O(2) 
                H2_66_S10         6.44265    H$\down2$(6-6) S(10) 
                 H2_11_S6         6.43835     H$\down2$(1-1) S(6) 
               H2_1211_S8         6.42531   H$\down2$(12-11) S(8) 
                H2_109_O4         6.41592    H$\down2$(10-9) O(4) 
               H2_1110_O2         6.40152   H$\down2$(11-10) O(2) 
               H2_119_O13         6.39842   H$\down2$(11-9) O(13) 
                H2_77_S13         6.36635    H$\down2$(7-7) S(13) 
                 H2_44_S8         6.34892     H$\down2$(4-4) S(8) 
               H2_1311_O7         6.32694   H$\down2$(13-11) O(7) 
                 H2_55_S9         6.32677     H$\down2$(5-5) S(9) 
                H2_10_O12         6.30828    H$\down2$(1-0) O(12) 
                H2_98_Q14         6.27053    H$\down2$(9-8) Q(14) 
                H2_43_O10         6.26916    H$\down2$(4-3) O(10) 
               H2_1211_S1         6.21316   H$\down2$(12-11) S(1) 
                H2_66_S11         6.15108    H$\down2$(6-6) S(11) 
               H2_109_Q10         6.13914   H$\down2$(10-9) Q(10) 
                 H2_22_S7         6.13835     H$\down2$(2-2) S(7) 
              H2_1210_O10         6.13372  H$\down2$(12-10) O(10) 
                 H2_98_O5         6.13039     H$\down2$(9-8) O(5) 
                 H2_00_S6         6.10857     H$\down2$(0-0) S(6) 
                 H2_54_O9         6.10291     H$\down2$(5-4) O(9) 
               H2_108_O15         6.06954   H$\down2$(10-8) O(15) 
               H2_1211_S7         6.06337   H$\down2$(12-11) S(7) 
                H2_21_O11         6.03194    H$\down2$(2-1) O(11) 
               H2_1211_S2         6.00227   H$\down2$(12-11) S(2) 
                 H2_65_O8         5.99676     H$\down2$(6-5) O(8) 
                 H2_87_O6         5.99182     H$\down2$(8-7) O(6) 
                 H2_33_S8         5.96982     H$\down2$(3-3) S(8) 
                H2_55_S10         5.96851    H$\down2$(5-5) S(10) 
                 H2_76_O7         5.95554     H$\down2$(7-6) O(7) 
                H2_66_S12         5.92552    H$\down2$(6-6) S(12) 
                H2_97_O17         5.91713    H$\down2$(9-7) O(17) 
                 H2_44_S9         5.91458     H$\down2$(4-4) S(9) 
                H2_98_Q13         5.90925    H$\down2$(9-8) Q(13) 
                H2_109_O3         5.89588    H$\down2$(10-9) O(3) 
                H2_109_Q9         5.87009    H$\down2$(10-9) Q(9) 
               H2_1211_S6         5.86704   H$\down2$(12-11) S(6) 
               H2_1211_S3         5.85980   H$\down2$(12-11) S(3) 
                 H2_11_S7         5.81092     H$\down2$(1-1) S(7) 
                H2_32_O10         5.80845    H$\down2$(3-2) O(10) 
               H2_1412_S1         5.80036   H$\down2$(14-12) S(1) 
               H2_1211_S4         5.78514   H$\down2$(12-11) S(4) 
               H2_1211_S5         5.78321   H$\down2$(12-11) S(5) 
                H2_66_S13         5.75527    H$\down2$(6-6) S(13) 
               H2_1311_O6         5.69839   H$\down2$(13-11) O(6) 
                H2_55_S11         5.68602    H$\down2$(5-5) S(11) 
                 H2_43_O9         5.63432     H$\down2$(4-3) O(9) 
                 H2_22_S8         5.63331     H$\down2$(2-2) S(8) 
                H2_10_O11         5.62935    H$\down2$(1-0) O(11) 
                H2_98_Q12         5.61536    H$\down2$(9-8) Q(12) 
                 H2_98_O4         5.61372     H$\down2$(9-8) O(4) 
               H2_119_O12         5.61351   H$\down2$(11-9) O(12) 
                H2_44_S10         5.57255    H$\down2$(4-4) S(10) 
                 H2_33_S9         5.55564     H$\down2$(3-3) S(9) 
                H2_87_Q15         5.54015    H$\down2$(8-7) Q(15) 
                 H2_00_S7         5.51118     H$\down2$(0-0) S(7) 
                 H2_54_O8         5.50790     H$\down2$(5-4) O(8) 
                H2_109_Q7         5.47218    H$\down2$(10-9) Q(7) 
                 H2_87_O5         5.46773     H$\down2$(8-7) O(5) 
                H2_55_S12         5.46376    H$\down2$(5-5) S(12) 
                H2_109_O2         5.46232    H$\down2$(10-9) O(2) 
               H2_1210_O9         5.44900   H$\down2$(12-10) O(9) 
                 H2_65_O7         5.43289     H$\down2$(6-5) O(7) 
                 H2_76_O6         5.41544     H$\down2$(7-6) O(6) 
                H2_21_O10         5.40991    H$\down2$(2-1) O(10) 
                H2_98_Q11         5.37265    H$\down2$(9-8) Q(11) 
               H2_108_O14         5.36218   H$\down2$(10-8) O(14) 
                 H2_11_S8         5.33014     H$\down2$(1-1) S(8) 
                H2_109_Q6         5.32590    H$\down2$(10-9) Q(6) 
                H2_44_S11         5.30128    H$\down2$(4-4) S(11) 
                H2_55_S13         5.29119    H$\down2$(5-5) S(13) 
                H2_87_Q14         5.25982    H$\down2$(8-7) Q(14) 
                H2_97_O16         5.25785    H$\down2$(9-7) O(16) 
                 H2_22_S9         5.23885     H$\down2$(2-2) S(9) 
                 H2_32_O9         5.23355     H$\down2$(3-2) O(9) 
                H2_33_S10         5.22811    H$\down2$(3-3) S(10) 
               H2_1311_O5         5.22019   H$\down2$(13-11) O(5) 
                H2_109_Q5         5.20735    H$\down2$(10-9) Q(5) 
                 H2_98_O3         5.17942     H$\down2$(9-8) O(3) 
                H2_98_Q10         5.17014    H$\down2$(9-8) Q(10) 
                H2_109_Q4         5.11295    H$\down2$(10-9) Q(4) 
                 H2_43_O8         5.09871     H$\down2$(4-3) O(8) 
                H2_44_S12         5.08601    H$\down2$(4-4) S(12) 
                H2_10_O10         5.05898    H$\down2$(1-0) O(10) 
                 H2_00_S8         5.05312     H$\down2$(0-0) S(8) 
                H2_109_Q3         5.04008    H$\down2$(10-9) Q(3) 
                H2_87_Q13         5.02747    H$\down2$(8-7) Q(13) 
                 H2_87_O4         5.02511     H$\down2$(8-7) O(4) 
               H2_119_O11         5.02342   H$\down2$(11-9) O(11) 
                 H2_54_O7         5.00439     H$\down2$(5-4) O(7) 
                 H2_98_Q9         5.00015     H$\down2$(9-8) Q(9) 
                H2_109_Q2         4.98690    H$\down2$(10-9) Q(2) 
              H2_1110_S10         4.97214  H$\down2$(11-10) S(10) 
                H2_33_S11         4.96690    H$\down2$(3-3) S(11) 
                 H2_76_O5         4.95822     H$\down2$(7-6) O(5) 
                 H2_65_O6         4.95535     H$\down2$(6-5) O(6) 
                 H2_11_S9         4.95419     H$\down2$(1-1) S(9) 
                H2_109_Q1         4.95211    H$\down2$(10-9) Q(1) 
               H2_1210_O8         4.93005   H$\down2$(12-10) O(8) 
               H2_1311_Q6         4.92782   H$\down2$(13-11) Q(6) 
                H2_22_S10         4.92631    H$\down2$(2-2) S(10) 
                H2_44_S13         4.91665    H$\down2$(4-4) S(13) 
                 H2_21_O9         4.88464     H$\down2$(2-1) O(9) 
               H2_1110_S2         4.86582   H$\down2$(11-10) S(2) 
                 H2_98_Q8         4.85717     H$\down2$(9-8) Q(8) 
               H2_1311_O4         4.84772   H$\down2$(13-11) O(4) 
                H2_87_Q12         4.83234    H$\down2$(8-7) Q(12) 
               H2_108_O13         4.81772   H$\down2$(10-8) O(13) 
                 H2_98_O2         4.81281     H$\down2$(9-8) O(2) 
                H2_76_Q15         4.77384    H$\down2$(7-6) Q(15) 
                H2_86_O17         4.75976    H$\down2$(8-6) O(17) 
                H2_33_S12         4.75806    H$\down2$(3-3) S(12) 
               H2_1110_S9         4.75592   H$\down2$(11-10) S(9) 
                 H2_32_O8         4.74609     H$\down2$(3-2) O(8) 
                H2_97_O15         4.73805    H$\down2$(9-7) O(15) 
                 H2_98_Q7         4.73717     H$\down2$(9-8) Q(7) 
               H2_1110_S3         4.72002   H$\down2$(11-10) S(3) 
              H2_1210_Q10         4.71702  H$\down2$(12-10) Q(10) 
                 H2_00_S9         4.69466     H$\down2$(0-0) S(9) 
                H2_22_S11         4.67629    H$\down2$(2-2) S(11) 
                H2_87_Q11         4.66692    H$\down2$(8-7) Q(11) 
                H2_11_S10         4.65585    H$\down2$(1-1) S(10) 
                 H2_87_O3         4.64944     H$\down2$(8-7) O(3) 
                 H2_43_O7         4.64306     H$\down2$(4-3) O(7) 
                 H2_98_Q6         4.63712     H$\down2$(9-8) Q(6) 
               H2_1311_Q5         4.63178   H$\down2$(13-11) Q(5) 
               H2_1110_S8         4.62269   H$\down2$(11-10) S(8) 
               H2_1110_S4         4.61609   H$\down2$(11-10) S(4) 
                H2_33_S13         4.59207    H$\down2$(3-3) S(13) 
                H2_76_Q14         4.58401    H$\down2$(7-6) Q(14) 
                 H2_10_O9         4.57544     H$\down2$(1-0) O(9) 
                 H2_54_O6         4.57532     H$\down2$(5-4) O(6) 
                 H2_76_O4         4.56898     H$\down2$(7-6) O(4) 
               H2_119_O10         4.56094   H$\down2$(11-9) O(10) 
                 H2_98_Q5         4.55476     H$\down2$(9-8) Q(5) 
               H2_1311_O3         4.55428   H$\down2$(13-11) O(3) 
               H2_1110_S5         4.55262   H$\down2$(11-10) S(5) 
               H2_1110_S7         4.55133   H$\down2$(11-10) S(7) 
                 H2_65_O5         4.54835     H$\down2$(6-5) O(5) 
                H2_109_S0         4.54357    H$\down2$(10-9) S(0) 
               H2_1110_S6         4.53008   H$\down2$(11-10) S(6) 
                H2_87_Q10         4.52584    H$\down2$(8-7) Q(10) 
               H2_1210_O7         4.52167   H$\down2$(12-10) O(7) 
                 H2_98_Q4         4.48836     H$\down2$(9-8) Q(4) 
                H2_22_S12         4.47524    H$\down2$(2-2) S(12) 
                 H2_21_O8         4.43739     H$\down2$(2-1) O(8) 
                 H2_98_Q3         4.43663     H$\down2$(9-8) Q(3) 
                H2_76_Q13         4.42179    H$\down2$(7-6) Q(13) 
               H2_1311_Q4         4.41840   H$\down2$(13-11) Q(4) 
                H2_11_S11         4.41667    H$\down2$(1-1) S(11) 
                H2_00_S10         4.40997    H$\down2$(0-0) S(10) 
                 H2_87_Q9         4.40521     H$\down2$(8-7) Q(9) 
