\ Created 2021 June 2 by Nadia Zakamska 
\ Wavelengths are assumed to be in vacuum! 
\ Data Source 1: ISO list of fine structure lines at 2-205 micron 
\ https://www.mpe.mpg.de/ir/ISO/linelists/FSlines.html 
|                    name|          lines|              linelab|
|                    char|          float|                 char|
|                        |         micron|                     |
|                    null|           null|                 null|
             [FeIII]51.68       51.680000         [FeIII] 51.68 
              [OIII]51.81       51.814500          [OIII] 51.81 
               [FeI]54.31       54.310930           [FeI] 54.31 
                [SI]56.31       56.311000            [SI] 56.31 
              [NIII]57.32       57.317000          [NIII] 57.32 
               [PII]60.64       60.640000           [PII] 60.64 
                [OI]63.18       63.183705            [OI] 63.18 
               [FII]67.20       67.200000           [FII] 67.20 
               [SiI]68.47       68.473000           [SiI] 68.47 
              [FeII]87.38       87.384400          [FeII] 87.38 
              [OIII]88.36       88.356000          [OIII] 88.36 
               [AlI]89.24       89.237000           [AlI] 89.24 
            [FeIII]105.37      105.370000        [FeIII] 105.37 
              [FeI]111.18      111.182800          [FeI] 111.18 
              [NII]121.90      121.897570          [NII] 121.90 
              [SiI]129.68      129.681730          [SiI] 129.68 
               [OI]145.53      145.525439           [OI] 145.53 
              [CII]157.74      157.740900          [CII] 157.74 
              [NII]205.18      205.178230          [NII] 205.18 
