# wl(um)  tau
  9.7168  0.00000e+00
  9.7242  0.00000e+00
  9.7317  0.00000e+00
  9.7392  0.00000e+00
  9.7467  0.00000e+00
  9.7542  0.00000e+00
  9.7617  0.00000e+00
  9.7692  0.00000e+00
  9.7768  0.00000e+00
  9.7843  0.00000e+00
  9.7918  0.00000e+00
  9.7993  0.00000e+00
  9.8069  0.00000e+00
  9.8144  0.00000e+00
  9.8220  0.00000e+00
  9.8295  0.00000e+00
  9.8371  0.00000e+00
  9.8447  0.00000e+00
  9.8523  0.00000e+00
  9.8598  0.00000e+00
  9.8674  0.00000e+00
  9.8750  0.00000e+00
  9.8826  0.00000e+00
  9.8902  0.00000e+00
  9.8978  0.00000e+00
  9.9054  0.00000e+00
  9.9131  0.00000e+00
  9.9207  0.00000e+00
  9.9283  0.00000e+00
  9.9360  0.00000e+00
  9.9436  0.00000e+00
  9.9513  0.00000e+00
  9.9589  0.00000e+00
  9.9666  0.00000e+00
  9.9743  0.00000e+00
  9.9819  0.00000e+00
  9.9896  0.00000e+00
  9.9973  0.00000e+00
 10.0050  0.00000e+00
 10.0127  0.00000e+00
 10.0204  0.00000e+00
 10.0281  0.00000e+00
 10.0358  0.00000e+00
 10.0436  0.00000e+00
 10.0513  0.00000e+00
 10.0590  0.00000e+00
 10.0668  0.00000e+00
 10.0745  0.00000e+00
 10.0823  0.00000e+00
 10.0900  0.00000e+00
 10.0978  0.00000e+00
 10.1056  0.00000e+00
 10.1133  0.00000e+00
 10.1211  0.00000e+00
 10.1289  0.00000e+00
 10.1367  0.00000e+00
 10.1445  0.00000e+00
 10.1523  0.00000e+00
 10.1601  0.00000e+00
 10.1679  0.00000e+00
 10.1758  0.00000e+00
 10.1836  0.00000e+00
 10.1914  0.00000e+00
 10.1993  0.00000e+00
 10.2071  0.00000e+00
 10.2150  0.00000e+00
 10.2228  0.00000e+00
 10.2307  0.00000e+00
 10.2386  0.00000e+00
 10.2465  0.00000e+00
 10.2543  0.00000e+00
 10.2622  0.00000e+00
 10.2701  0.00000e+00
 10.2780  0.00000e+00
 10.2859  0.00000e+00
 10.2938  0.00000e+00
 10.3018  0.00000e+00
 10.3097  0.00000e+00
 10.3176  0.00000e+00
 10.3256  0.00000e+00
 10.3335  0.00000e+00
 10.3415  0.00000e+00
 10.3494  0.00000e+00
 10.3574  0.00000e+00
 10.3654  0.00000e+00
